author_name,author_id
ImmergutM.,924
KaufmanP.,925
YamashitaH.,926
UedaY.,927
OzakiT.,928
TsuchiyaH.,929
TakahashiY.,930
KanekoH.,931
KanoT.,932
MimoriA.,933
[Noauthornameavailable],934
VargheseF.,935
BukhariA.B.,936
MalhotraR.,937
DeA.,938
AmaralJ.A.T.,939
NogueiraM.L.,940
RoqueA.L.,941
GuidaH.L.,942
DeAbreuL.C.,943
RaimundoR.D.,944
VanderleiL.C.M.,945
RibeiroV.L.,946
FerreiraC.,947
ValentiV.E.,948
KarakusA.,949
ŞenyerN.,950
BlacherS.,951
ErpicumC.,952
LenoirB.,953
PaupertJ.,954
MoraesG.,955
OrmeneseS.,956
BullingerE.,957
NoelA.,958
MuralaS.,959
WuQ.M.J.,960
LongH.,961
YeN.,962
LiaoL.,963
JianF.,964
WangY.,965
LaiW.,966
ViapianaR.,967
Guerreiro-TanomaruJ.,968
Tanomaru-FilhoM.,969
CamilleriJ.,970
DengJ.,971
LiuB.,972
DingJ.,973
MaoX.,974
ZhangJ.,975
HuH.,976
LiJ.,977
ZuhrO.,978
BäumerD.,979
HürzelerM.,980
TortajadaM.,981
OliverA.,982
MartíR.,983
GanauS.,984
TortajadaL.,985
SentísM.,986
FreixenetJ.,987
ZwiggelaarR.,988
FordJ.D.,989
WilloxA.C.,990
ChatwoodS.,991
FurgalC.,992
HarperS.,993
MauroI.,994
PearceT.,995
WangL.,996
TangW.,997
ZhenZ.,998
ChenH.,999
XieJ.,1000
ZhaoQ.,1001
GorbatenkoA.,1002
OlesenC.W.,1003
BoedtkjerE.,1004
PedersenS.F.,1005
KotasidisF.A.,1006
ZaidiH.,1007
KarkabiK.,1008
WaldH.S.,1009
CastelO.C.,1010
GalaR.,1011
ChapetonJ.,1012
JiteshJ.,1013
BhavsarC.,1014
StepanyantsA.,1015
KoprowskiR.,1016
WilczyńskiS.,1017
WróbelZ.,1018
KasperczykS.,1019
Błońska-FajfrowskaB.,1020
JanbonG.,1021
OrmerodK.L.,1022
PauletD.,1023
ByrnesIIIE.J.,1024
YadavV.,1025
ChatterjeeG.,1026
MullapudiN.,1027
HonC.-C.,1028
BillmyreR.B.,1029
BrunelF.,1030
BahnY.-S.,1031
ChenW.,1032
ChowE.W.L.,1033
CoppéeJ.-Y.,1034
Floyd-AveretteA.,1035
GaillardinC.,1036
GerikK.J.,1037
GoldbergJ.,1038
Gonzalez-HilarionS.,1039
GujjaS.,1040
HamlinJ.L.,1041
HsuehY.-P.,1042
IaniriG.,1043
JonesS.,1044
KodiraC.D.,1045
KozubowskiL.,1046
LamW.,1047
MarraM.,1048
MesnerL.D.,1049
MieczkowskiP.A.,1050
MoyrandF.,1051
NielsenK.,1052
ProuxC.,1053
RossignolT.,1054
ScheinJ.E.,1055
SunS.,1056
WollschlaegerC.,1057
WoodI.A.,1058
ZengQ.,1059
NeuvégliseC.,1060
NewlonC.S.,1061
PerfectJ.R.,1062
LodgeJ.K.,1063
IdnurmA.,1064
StajichJ.E.,1065
KronstadJ.W.,1066
SanyalK.,1067
HeitmanJ.,1068
FraserJ.A.,1069
CuomoC.A.,1070
DietrichF.S.,1071
O'BrienH.D.,1072
WilliamsS.H.,1073
GrimmM.,1074
MunzA.,1075
TerieteP.,1076
NadtotschiT.,1077
ReinertS.,1078
SalomonssonB.,1079
ShermanR.,1080
ZhaoL.,1081
LiY.,1082
LuH.,1083
YuanL.,1084
TongS.,1085
GoggolidouP.,1086
ArslanS.,1087
OzyurekE.,1088
Gunduz-DemirC.,1089
VanGorpP.,1090
ComuzziM.,1091
JahnenA.,1092
KaymakU.,1093
MiddletonB.,1094
AnamiB.S.,1095
UnkiP.H.,1096
ArivazhaganS.,1097
BenittaR.,1098
RiordanA.J.,1099
BenninkE.,1100
DankbaarJ.W.,1101
ViergeverM.A.,1102
VelthuisB.K.,1103
SmitE.J.,1104
DeJongH.W.A.M.,1105
SteenbergenR.D.M.,1106
SnijdersP.J.F.,1107
HeidemanD.A.M.,1108
MeijerC.J.L.M.,1109
TaoY.,1110
VanPeerA.F.,1111
ChenB.,1112
ZhuJ.,1113
DengY.,1114
JiangY.,1115
WuT.,1116
SealeJ.,1117
VanDeWeteringR.,1118
BatenburgR.,1119
HärmäV.,1120
SchukovH.-P.,1121
HapponenA.,1122
AhonenI.,1123
VirtanenJ.,1124
SiitariH.,1125
ÅkerfeltM.,1126
LötjönenJ.,1127
NeesM.,1128
GrandoS.A.,1129
CrijnsW.,1130
VanHerckH.,1131
DefraeneG.,1132
VanDenBerghL.,1133
SlagmolenP.,1134
HaustermansK.,1135
MaesF.,1136
VanDenHeuvelF.,1137
BanerjeeN.,1138
MillerN.,1139
AllenC.,1140
BendayanR.,1141
LiX.-J.,1142
LiangL.-L.,1143
XieC.-W.,1144
YangS.,1145
RubinG.D.,1146
LeipsicJ.,1147
JosephSchoepfU.,1148
FleischmannD.,1149
NapelS.,1150
FangR.,1151
KarlssonK.,1152
ChenT.,1153
SanelliP.C.,1154
ZhengY.,1155
DanielE.,1156
HunterA.A.,1157
XiaoR.,1158
GaoJ.,1159
LiH.,1160
MaguireM.G.,1161
BrainardD.H.,1162
GeeJ.C.,1163
PetrovicL.,1164
CelliJ.P.,1165
YelleswarapuC.S.,1166
BaghliI.,1167
NakibA.,1168
SellamE.,1169
BenazzouzM.,1170
ChikhA.,1171
PetitE.,1172
ChanA.C.,1173
WongT.T.W.,1174
WongK.K.Y.,1175
LamE.Y.,1176
TsiaK.K.,1177
AvanakiA.,1178
EspigK.,1179
KimpeT.,1180
XthonaA.,1181
MarchessouxC.,1182
RostangJ.,1183
PiepersB.,1184
TrahearnN.,1185
EpsteinD.,1186
SneadD.,1187
CreeI.,1188
RajpootN.,1189
LiN.,1190
ChouY.-Y.,1191
ShieeN.,1192
ChanL.,1193
PhamD.L.,1194
ButmanJ.A.,1195
SchillingK.G.,1196
KhareS.P.,1197
PandaS.,1198
ChoeA.S.,1199
StepniewskaI.,1200
LiX.,1201
DingZ.,1202
AndersonA.,1203
LandmanB.A.,1204
YoonH.,1205
LeeH.,1206
JeonK.-W.,1207
JungH.,1208
LeeM.-Y.,1209
WonH.-S.,1210
JeonE.-J.,1211
YangE.-H.,1212
ChoiJ.-Y.,1213
HongS.-J.,1214
HayashiN.,1215
TaniguchiA.,1216
NotoK.,1217
ShimosegawaM.,1218
OguraT.,1219
DoiK.,1220
CenR.,1221
PopA.R.,1222
BahcallN.A.,1223
ZidelmalZ.,1224
AmirouA.,1225
Ould-AbdeslamD.,1226
MoukademA.,1227
DieterlenA.,1228
BalsatC.,1229
SignolleN.,1230
GoffinF.,1231
DelbecqueK.,1232
PlancoulaineB.,1233
SauthierP.,1234
SamouëlianV.,1235
BéliardA.,1236
MunautC.,1237
FoidartJ.-M.,1238
NoëlA.,1239
KridelkaF.,1240
GomezA.D.,1241
MerchantS.S.,1242
HsuE.W.,1243
VargheesV.N.,1244
RamachandranK.I.,1245
JohnsonL.M.,1246
TurkbeyB.,1247
FiggW.D.,1248
ChoykeP.L.,1249
WakefieldM.E.,1250
ZhangJ.-J.,1251
ZhuY.,1252
XieK.-L.,1253
PengY.-P.,1254
TaoJ.-Q.,1255
TangJ.,1256
XuZ.-K.,1257
DaiC.-C.,1258
QianZ.-Y.,1259
JiangK.-R.,1260
WuJ.-L.,1261
GaoW.-T.,1262
DuQ.,1263
MiaoY.,1264
AlquranH.,1265
ShaheenE.,1266
O'ConnorJ.M.,1267
MahdM.,1268
TayJ.W.,1269
LaiP.,1270
SuzukiY.,1271
WangL.V.,1272
FukuokaY.,1273
KawataY.,1274
NikiN.,1275
UmetaniK.,1276
NakanoY.,1277
OhmatsuH.,1278
MoriyamaN.,1279
ItohH.,1280
WiemkerR.,1281
KutraD.,1282
HeeseH.,1283
BuelowT.,1284
MalkovS.,1285
KerlikowskeK.,1286
ShepherdJ.,1287
AnasE.M.A.,1288
RasoulianA.,1289
St.JohnP.,1290
PichoraD.,1291
RohlingR.,1292
AbolmaesumiP.,1293
IrshadH.,1294
GouaillardA.,1295
RouxL.,1296
RacoceanuD.,1297
LuG.,1298
HaligL.,1299
WangD.,1300
ChenZ.G.,1301
FeiB.,1302
RazetoM.,1303
MohrB.,1304
ArakitaK.,1305
SchuijfJ.D.,1306
FuchsA.,1307
KühlJ.T.,1308
ChenM.Y.,1309
KofoedK.F.,1310
HuotilainenE.,1311
JaanimetsR.,1312
ValášekJ.,1313
MarciánP.,1314
SalmiM.,1315
TuomiJ.,1316
MäkitieA.,1317
WolffJ.,1318
VeraS.,1319
BallesterM.A.G.,1320
GilD.,1321
KantarL.,1322
ReaungamornratS.,1323
WangA.S.,1324
UneriA.,1325
OtakeY.,1326
ZhaoZ.,1327
KhannaA.J.,1328
SiewerdsenJ.H.,1329
BinefaG.,1330
Rodríguez-MorantaF.,1331
TeuleÀ.,1332
Medina-HayasM.,1333
LasaterK.,1334
JohnsonE.A.,1335
RavertP.,1336
