pmid,authors
2-s2.0-84900032576,"['Fahmi F.', ' Marquering H.A.', ' Streekstra G.J.', ' Beenen L.F.M.', ' Janssen N.N.Y.', ' Majoie C.B.L.', ' VanBavel E.']"
2-s2.0-84900295638,"['Sauder K.A.', ' West S.G.', ' McCrea C.E.', ' Campbell J.M.', ' Jenkins A.L.', ' Jenkins D.J.A.', ' Kendall C.W.C.']"
2-s2.0-84900295928,"['Nielsen J.A.', ' Mengiste S.A.']"
2-s2.0-84900306414,['Newman C.']
2-s2.0-84900312326,"['Manni L.', ' Gasparini F.', ' Hotta K.', ' Ishizuka K.J.', ' Ricci L.', ' Tiozzo S.', ' Voskoboynik A.', ' Dauga D.']"
2-s2.0-84900415568,"['Shi L.', ' Zhang Z.', ' Yu A.M.', ' Wang W.', ' Wei Z.', ' Akhter E.', ' Maurer K.', ' Reis P.C.', ' Song L.', ' Petri M.', ' Sullivan K.E.']"
2-s2.0-84900421891,"['Immergut M.', ' Kaufman P.']"
2-s2.0-84900422961,"['Yamashita H.', ' Ueda Y.', ' Ozaki T.', ' Tsuchiya H.', ' Takahashi Y.', ' Kaneko H.', ' Kano T.', ' Mimori A.']"
2-s2.0-84900436029,['[No author name available]']
2-s2.0-84900445093,"['Varghese F.', ' Bukhari A.B.', ' Malhotra R.', ' De A.']"
2-s2.0-84900458952,"['Amaral J.A.T.', ' Nogueira M.L.', ' Roque A.L.', ' Guida H.L.', ' De Abreu L.C.', ' Raimundo R.D.', ' Vanderlei L.C.M.', ' Ribeiro V.L.', ' Ferreira C.', ' Valenti V.E.']"
2-s2.0-84900499198,"['Karakus A.', ' Şenyer N.']"
2-s2.0-84900524184,"['Blacher S.', ' Erpicum C.', ' Lenoir B.', ' Paupert J.', ' Moraes G.', ' Ormenese S.', ' Bullinger E.', ' Noel A.']"
2-s2.0-84900525928,"['Murala S.', ' Wu Q.M.J.']"
2-s2.0-84900580653,"['Long H.', ' Zhou Y.', ' Ye N.', ' Liao L.', ' Jian F.', ' Wang Y.', ' Lai W.']"
2-s2.0-84900658327,"['Viapiana R.', ' Guerreiro-Tanomaru J.', ' Tanomaru-Filho M.', ' Camilleri J.']"
2-s2.0-84900661727,"['Chen Y.', ' Deng J.', ' Wang Y.', ' Liu B.', ' Ding J.', ' Mao X.', ' Zhang J.', ' Hu H.', ' Li J.']"
2-s2.0-84900826361,"['Zuhr O.', ' Bäumer D.', ' Hürzeler M.']"
2-s2.0-84900829199,"['Tortajada M.', ' Oliver A.', ' Martí R.', ' Ganau S.', ' Tortajada L.', ' Sentís M.', ' Freixenet J.', ' Zwiggelaar R.']"
2-s2.0-84901010064,"['Ford J.D.', ' Willox A.C.', ' Chatwood S.', ' Furgal C.', ' Harper S.', ' Mauro I.', ' Pearce T.']"
2-s2.0-84901017016,"['Wang L.', ' Tang W.', ' Zhen Z.', ' Chen H.', ' Xie J.', ' Zhao Q.']"
2-s2.0-84901021936,"['Gorbatenko A.', ' Olesen C.W.', ' Boedtkjer E.', ' Pedersen S.F.']"
2-s2.0-84901049719,"['Kotasidis F.A.', ' Zaidi H.']"
2-s2.0-84901188444,"['Karkabi K.', ' Wald H.S.', ' Castel O.C.']"
2-s2.0-84901255614,"['Gala R.', ' Chapeton J.', ' Jitesh J.', ' Bhavsar C.', ' Stepanyants A.']"
2-s2.0-84901271961,"['Koprowski R.', ' Wilczyński S.', ' Wróbel Z.', ' Kasperczyk S.', ' Błońska-Fajfrowska B.']"
2-s2.0-84901315116,"['Janbon G.', ' Ormerod K.L.', ' Paulet D.', ' Byrnes III E.J.', ' Yadav V.', ' Chatterjee G.', ' Mullapudi N.', ' Hon C.-C.', ' Billmyre R.B.', ' Brunel F.', ' Bahn Y.-S.', ' Chen W.', ' Chen Y.', ' Chow E.W.L.', ' Coppée J.-Y.', ' Floyd-Averette A.', ' Gaillardin C.', ' Gerik K.J.', ' Goldberg J.', ' Gonzalez-Hilarion S.', ' Gujja S.', ' Hamlin J.L.', ' Hsueh Y.-P.', ' Ianiri G.', ' Jones S.', ' Kodira C.D.', ' Kozubowski L.', ' Lam W.', ' Marra M.', ' Mesner L.D.', ' Mieczkowski P.A.', ' Moyrand F.', ' Nielsen K.', ' Proux C.', ' Rossignol T.', ' Schein J.E.', ' Sun S.', ' Wollschlaeger C.', ' Wood I.A.', ' Zeng Q.', ' Neuvéglise C.', ' Newlon C.S.', ' Perfect J.R.', ' Lodge J.K.', ' Idnurm A.', ' Stajich J.E.', ' Kronstad J.W.', ' Sanyal K.', ' Heitman J.', ' Fraser J.A.', ' Cuomo C.A.', ' Dietrich F.S.']"
2-s2.0-84901320276,"[""O'Brien H.D."", ' Williams S.H.']"
2-s2.0-84901333418,"['Grimm M.', ' Munz A.', ' Teriete P.', ' Nadtotschi T.', ' Reinert S.']"
2-s2.0-84901347299,['Salomonsson B.']
2-s2.0-84901358787,['Sherman R.']
